url,source,headline,status,error,headline_clean,headline_norm,label
http://www.foxnews.com/entertainment/lori-loughlin-mossimo-giannulli-asks-serve-remainder-prison-sentence-home,FoxNews,Lori Loughlin's husband Mossimo Giannulli asks to serve remainder of five-month prison sentence at home,200,,Lori Loughlin's husband Mossimo Giannulli asks to serve remainder of five-month prison sentence at home,lori loughlins husband mossimo giannulli asks serve remainder fivemonth prison sentence home,1
https://foxnews.com/politics/back-trail-top-biden-surrogate-newsom-now-campaigning-harris,FoxNews,Back on the trail: Top Biden surrogate Newsom now campaigning for Harris,200,,Back on the trail: Top Biden surrogate Newsom now campaigning for Harris,back trail top biden surrogate newsom campaigning harris,1
https://foxnews.com/politics/harris-claims-trump-abortion-platform-makes-no-exception-moments-after-trump-says-opposite-absolute-lie,FoxNews,"Harris claims Trump abortion platform makes ‘no exception,’ moments after Trump says the opposite",200,,"Harris claims Trump abortion platform makes 'no exception,' moments after Trump says the opposite",harris claim trump abortion platform make exception moment trump say opposite,1
https://foxnews.com/politics/jimmy-carters-family-reveals-how-president-felt-about-biden-quitting-which-dnc-speaker-stole-show,FoxNews,"Jimmy Carter’s family reveals how president felt about Biden quitting, which DNC speaker stole the show",200,,"Jimmy Carter's family reveals how president felt about Biden quitting, which DNC speaker stole the show",jimmy carter family reveals president felt biden quitting dnc speaker stole show,1
https://foxnews.com/politics/new-poll-reveals-what-democrats-think-harris-president,FoxNews,New poll reveals what Democrats think of Harris as president,200,,New poll reveals what Democrats think of Harris as president,new poll reveals democrat think harris president,1
https://foxnews.com/politics/taylor-swift-endorses-kamala-harris-president-after-debate-ive-made-my-choice,FoxNews,Taylor Swift endorses Kamala Harris for president after debate: ‘I’ve made my choice’,200,,Taylor Swift endorses Kamala Harris for president after debate: 'I've made my choice,taylor swift endorses kamala harris president debate ive made choice,1
https://foxnews.com/politics/trump-harris-trade-barbs-crime-during-first-presidential-debate-through-roof,FoxNews,"Trump, Harris trade barbs on crime during first presidential debate: 'Through the roof'",200,,"Trump, Harris trade barbs on crime during first presidential debate: 'Through the roof",trump harris trade barb crime first presidential debate roof,1
https://foxnews.com/politics/trump-says-he-probably-took-bullet-head-due-dem-rhetoric,FoxNews,Trump says he 'probably took a bullet to the head' due to Dem rhetoric,200,,Trump says he 'probably took a bullet to the head' due to Dem rhetoric,trump say probably took bullet head due dem rhetoric,1
https://foxnews.com/politics/trump-spars-harris-moderators-during-heated-presidential-debate-doesnt-have-plan,FoxNews,"Trump spars with Harris, moderators during heated presidential debate: 'She doesn't have a plan'",200,,"Trump spars with Harris, moderators during heated presidential debate: 'She doesn't have a plan",trump spar harris moderator heated presidential debate doesnt plan,1
https://foxnews.com/sports/nba-great-magic-johnson-slammed-calling-obamas-dnc-speeches-best-history-our-country,FoxNews,NBA great Magic Johnson slammed for calling Obama’s DNC speeches the best in ‘history of our country’,200,,NBA great Magic Johnson slammed for calling Obama's DNC speeches the best in 'history of our country,nba great magic johnson slammed calling obamas dnc speech best history country,1
https://www.foxnews.com/auto/jeep-saluting-u-s-military-veterans-cash-back-deal,FoxNews,"Jeep saluting US military and veterans with $1,000 cash-back deal",200,,"Jeep saluting US military and veterans with $1,000 cash-back deal",jeep saluting u military veteran cashback deal,1
https://www.foxnews.com/entertainment/50-cent-voting-trump-over-biden-tax-plan,FoxNews,50 Cent says ‘vote for Trump’ in light of Biden's tax plan: 'IM OUT',200,,50 Cent says 'vote for Trump' in light of Biden's tax plan: 'IM OUT,cent say vote trump light bidens tax plan im,1
https://www.foxnews.com/entertainment/8-rock-stars-rocking-80s,FoxNews,8 rock stars who are rockin' their way into their 80s,200,,8 rock stars who are rockin' their way into their 80s,rock star rockin way,1
https://www.foxnews.com/entertainment/agt-judge-simon-cowell-has-rare-public-outing-son-fiancee-after-revealing-10-year-old-saved-him,FoxNews,'AGT' judge Simon Cowell has rare public outing with son and fiancée after revealing 10-year-old 'saved' him,200,,AGT' judge Simon Cowell has rare public outing with son and fiancée after revealing 10-year-old 'saved' him,agt judge simon cowell rare public outing son fianc revealing yearold saved,1
https://www.foxnews.com/entertainment/american-graffiti-cast-50-years-film-launched-harrison-ford-struggling-carpenter-han-solo,FoxNews,'American Graffiti' cast 50 years later: How film launched Harrison Ford from struggling carpenter to Han Solo,200,,American Graffiti' cast 50 years later: How film launched Harrison Ford from struggling carpenter to Han Solo,american graffiti cast year later film launched harrison ford struggling carpenter han solo,1
https://www.foxnews.com/entertainment/american-idol-fans-criticize-katy-perry-luke-bryan-rude-reaction-they-need-apologize,FoxNews,'American Idol' fans criticize Katy Perry and Luke Bryan after 'rude' reaction: They need to 'apologize',200,,American Idol' fans criticize Katy Perry and Luke Bryan after 'rude' reaction: They need to 'apologize,american idol fan criticize katy perry luke bryan rude reaction need apologize,1
https://www.foxnews.com/entertainment/american-idol-judge-katy-perry-suffers-wardrobe-malfunction-during-show,FoxNews,'American Idol' judge Katy Perry suffers wardrobe malfunction during show,200,,American Idol' judge Katy Perry suffers wardrobe malfunction during show,american idol judge katy perry suffers wardrobe malfunction show,1
https://www.foxnews.com/entertainment/american-idol-judge-luke-bryan-shares-which-stars-have-been-in-talks-replace-katy-perry-hit-show,FoxNews,‘American Idol’ judge Luke Bryan shares which stars have been ‘in the talks’ to replace Katy Perry on hit show,200,,American Idol' judge Luke Bryan shares which stars have been 'in the talks' to replace Katy Perry on hit show,american idol judge luke bryan share star talk replace katy perry hit show,1
https://www.foxnews.com/entertainment/americas-got-talent-judge-heidi-klum-did-not-expect-9-year-olds-epic-tina-turner-performance,FoxNews,'America's Got Talent' judge Heidi Klum 'did not expect' 9-year-old's epic Tina Turner performance,200,,America's Got Talent' judge Heidi Klum 'did not expect' 9-year-old's epic Tina Turner performance,america got talent judge heidi klum expect yearolds epic tina turner performance,1
https://www.foxnews.com/entertainment/americas-got-talent-judge-simon-cowell-makes-show-history-shocking-move,FoxNews,'America's Got Talent' judge Simon Cowell makes show history with shocking move,200,,America's Got Talent' judge Simon Cowell makes show history with shocking move,america got talent judge simon cowell make show history shocking move,1
https://www.foxnews.com/entertainment/americas-got-talent-judge-simon-cowells-fiancee-pushes-workaholic-star-do-normal-things,FoxNews,'America’s Got Talent’ judge Simon Cowell’s fiancée pushes ‘workaholic’ star to do ‘normal things’,200,,America's Got Talent' judge Simon Cowell's fiancée pushes 'workaholic' star to do 'normal things,america got talent judge simon cowells fianc push workaholic star normal thing,1
https://www.foxnews.com/entertainment/arnold-schwarzenegger-expands-current-relationship-status-ex-wife-maria-shriver,FoxNews,Arnold Schwarzenegger expands on his current relationship status with ex-wife Maria Shriver,200,,Arnold Schwarzenegger expands on his current relationship status with ex-wife Maria Shriver,arnold schwarzenegger expands current relationship status exwife maria shriver,1
https://www.foxnews.com/entertainment/arnold-schwarzenegger-gruesome-injury-total-recall,FoxNews,Arnold Schwarzenegger remembers gruesome injury while filming 'Total Recall',200,,Arnold Schwarzenegger remembers gruesome injury while filming 'Total Recall,arnold schwarzenegger remembers gruesome injury filming total recall,1
https://www.foxnews.com/entertainment/ashley-tisdale-vanessa-hudgens-dance-high-school-musical,FoxNews,"Ashley Tisdale, Vanessa Hudgens dance to 'High School Musical' song during self-quarantine",200,,"Ashley Tisdale, Vanessa Hudgens dance to 'High School Musical' song during self-quarantine",ashley tisdale vanessa hudgens dance high school musical song selfquarantine,1
https://www.foxnews.com/entertainment/beatle-ringo-starr-peace-love-all-starr-tour,FoxNews,Beatle Ringo Starr reflects on spreading 'peace and love' following the '60s: 'It was part of how we felt',200,,Beatle Ringo Starr reflects on spreading 'peace and love' following the '60s: 'It was part of how we felt,beatle ringo starr reflects spreading peace love following part felt,1
